snapshot_date,previous_market_trade_date,code,name,name_resolution_status,name_candidates,market,prev_symbol_trade_date,days_since_prev_symbol_trade,prev_close,open,high,low,close,volume,amount,market_cap,listed_shares,open_gap_pct,high_return_pct,low_return_pct,close_return_pct,turnover_pct,return_3d_pct,return_5d_pct,return_10d_pct,return_20d_pct,amount_rank,turnover_rank,market_cap_rank,high_return_rank,close_return_rank,limit_up_price,upper_limit_touched,upper_limit_closed,upper_limit_released,one_price_upper_limit,upper_limit_label_status,upper_limit_touch_count_5d,upper_limit_close_count_5d,high_return_ge_10_count_5d,high_return_ge_20_count_5d,corporate_action_warning,new_listing_or_no_reference,data_quality_status,max_source_date
2022-08-22,2022-08-19,264900,크라운제과,exact_source_row,,KOSPI,2022-08-19,3,9490,9610,10150,9480,9480,397660,3897877300,118726098000,12523850,1.264489,6.954689,-0.105374,-0.105374,3.175222,-0.315457,-1.96484,-4.914744,10.618436,466,196,1359,81,332,12300,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,265520,AP시스템,exact_source_row,,KOSDAQ,2022-08-19,3,18700,18550,18550,18000,18000,57109,1039322900,275065578000,15281421,-0.802139,-0.802139,-3.743316,-3.743316,0.373715,-3.743316,-2.439024,0.558659,1.983003,975,1252,723,2013,1952,24300,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,265560,영화테크,exact_source_row,,KOSDAQ,2022-08-19,3,13350,13300,13300,12700,12800,56289,728165850,136834304000,10690180,-0.374532,-0.374532,-4.868914,-4.11985,0.526549,-5.535055,-6.227106,-4.477612,-4.832714,1150,976,1241,1633,2087,17350,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,265740,엔에프씨,exact_source_row,,KOSDAQ,2022-08-19,3,11000,10900,10900,10400,10550,20041,213079100,94230490000,8931800,-0.909091,-0.909091,-5.454545,-4.090909,0.224378,-5.803571,-5.803571,-4.090909,-5.803571,1846,1662,1593,2098,2077,14300,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,267250,HD현대,exact_source_row,,KOSPI,2022-08-19,3,59200,58500,59900,58400,59900,130486,7763738700,4731685791500,78993085,-1.182432,1.182432,-1.351351,1.182432,0.165187,1.525424,0.335008,6.017699,12.593985,287,1851,74,504,136,76900,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,267260,현대일렉트릭,exact_source_row,,KOSPI,2022-08-19,3,30000,29500,30550,29450,29900,201289,6064307750,1077809336500,36047135,-1.666667,1.833333,-1.833333,-0.333333,0.558405,1.70068,-2.446982,13.043478,28.32618,345,932,232,351,418,39000,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,267270,현대건설기계,exact_source_row,,KOSPI,2022-08-19,3,38850,38000,39000,38000,38500,60178,2314531150,758480530500,19700793,-2.187902,0.3861,-2.187902,-0.900901,0.30546,-1.534527,-7.004831,-0.516796,1.851852,623,1416,316,841,616,50500,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,267290,경동도시가스,exact_source_row,,KOSPI,2022-08-19,3,24900,25100,25250,24900,25000,49299,1235715000,147385150000,5895406,0.803213,1.405622,0,0.401606,0.836227,2.040816,4.384134,13.636364,17.647059,896,642,1172,441,211,32350,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,267320,나인테크,exact_source_row,,KOSDAQ,2022-08-19,3,3665,3605,3865,3570,3655,1018520,3774347765,143994404870,39396554,-1.637108,5.457026,-2.592087,-0.272851,2.585302,-3.562005,-8.510638,-5.920206,-3.306878,475,235,1193,123,392,4760,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
2022-08-22,2022-08-19,267790,배럴,exact_source_row,,KOSDAQ,2022-08-19,3,6840,6710,6830,6700,6770,30483,205320630,53384835000,7885500,-1.900585,-0.146199,-2.046784,-1.023392,0.38657,-3.285714,-13.205128,-13.42711,-14.735516,1861,1223,2067,1407,670,8890,false,false,false,false,verified_normal_day,0,0,0,0,false,false,clean,2022-08-22
