code,current_or_latest_name,first_date,last_date,trading_day_count,raw_trading_day_count,markets,available_year_count,raw_available_year_count,latest_close,latest_marcap,status_inferred,profile_path
016100,리더스코스메틱,2003-01-15,2026-06-22,5780,5783,KOSDAQ,24,24,1223,23360393362,active_like,atlas/symbol_profiles/016/016100.json
016250,SGC E&C,1999-12-28,2026-06-22,6494,6524,KOSDAQ,28,28,11500,57925339000,active_like,atlas/symbol_profiles/016/016250.json
016360,삼성증권,1995-05-02,2026-06-22,7846,7846,KOSPI,32,32,114000,10180200000000,active_like,atlas/symbol_profiles/016/016360.json
016380,KG스틸,1995-05-02,2026-06-22,7751,7846,KOSPI,32,32,5420,542048221740,active_like,atlas/symbol_profiles/016/016380.json
016450,한세예스24홀딩스,1996-07-05,2026-06-22,7215,7503,KOSDAQ|KOSPI,31,31,4250,170000000000,active_like,atlas/symbol_profiles/016/016450.json
016580,환인제약,1996-07-06,2026-06-22,7476,7502,KOSDAQ|KOSPI,31,31,9810,182466686700,active_like,atlas/symbol_profiles/016/016580.json
016590,신대양제지,1996-01-03,2026-06-22,7635,7654,KOSPI,31,32,9470,381620355400,active_like,atlas/symbol_profiles/016/016590.json
016600,큐캐피탈,1996-07-11,2026-06-22,7130,7503,KOSDAQ,31,31,3175,44328083175,active_like,atlas/symbol_profiles/016/016600.json
016610,DB증권,1995-05-02,2026-06-22,7846,7846,KOSPI,32,32,9780,415125684420,active_like,atlas/symbol_profiles/016/016610.json
016670,디모아,1996-07-03,2026-06-22,6459,7503,KOSDAQ,30,31,2385,24313248090,active_like,atlas/symbol_profiles/016/016670.json
016710,대성홀딩스,1999-12-22,2026-06-22,6386,6528,KOSPI,28,28,7070,113752475130,active_like,atlas/symbol_profiles/016/016710.json
016740,두올,2016-07-29,2026-06-22,2425,2425,KOSPI,11,11,4145,118853829480,active_like,atlas/symbol_profiles/016/016740.json
016790,현대사료,2018-06-01,2024-02-29,1402,1975,KOSDAQ,7,9,994,185869614616,active_like,atlas/symbol_profiles/016/016790.json
016800,퍼시스,1997-01-03,2026-06-22,7292,7359,KOSPI,30,31,24450,281175000000,active_like,atlas/symbol_profiles/016/016800.json
016880,웅진,1995-05-02,2026-06-22,7751,7846,KOSPI,32,32,1983,158495399640,active_like,atlas/symbol_profiles/016/016880.json
016920,카스,1996-07-01,2026-06-22,7031,7503,KOSDAQ,31,31,910,24109119580,active_like,atlas/symbol_profiles/016/016920.json
017000,신원종합개발,1996-07-11,2026-06-22,6951,7503,KOSDAQ,31,31,2385,27828244395,active_like,atlas/symbol_profiles/017/017000.json
017040,광명전기,1995-05-02,2026-04-07,7745,7846,KOSPI,32,32,932,40390657180,active_like,atlas/symbol_profiles/017/017040.json
017180,명문제약,2008-07-10,2026-06-22,4426,4426,KOSPI,19,19,1266,42985072764,active_like,atlas/symbol_profiles/017/017180.json
017250,인터엠,1996-07-01,2026-06-22,6993,7503,KOSDAQ,31,31,1007,21192785269,active_like,atlas/symbol_profiles/017/017250.json
017370,우신시스템,2001-08-09,2026-06-22,6133,6133,KOSDAQ|KOSPI,26,26,4605,84336218670,active_like,atlas/symbol_profiles/017/017370.json
017390,서울가스,1995-09-11,2026-06-22,7607,7758,KOSPI,32,32,54700,270765000000,active_like,atlas/symbol_profiles/017/017390.json
017480,삼현철강,2001-01-09,2026-06-22,6275,6277,KOSDAQ,26,26,4695,72504368550,active_like,atlas/symbol_profiles/017/017480.json
017510,세명전기,1996-07-31,2026-06-22,6727,7503,KOSDAQ,31,31,8210,125169660000,active_like,atlas/symbol_profiles/017/017510.json
017550,수산세보틱스,1995-05-02,2026-06-22,7768,7846,KOSPI,32,32,2110,131662164300,active_like,atlas/symbol_profiles/017/017550.json
017650,대림제지,1996-07-08,2026-06-22,6694,7503,KOSDAQ,31,31,8740,76780900000,active_like,atlas/symbol_profiles/017/017650.json
017670,SK텔레콤,1995-05-02,2026-06-22,7820,7846,KOSPI,32,32,94200,20233222992600,active_like,atlas/symbol_profiles/017/017670.json
017800,현대엘리베이터,1996-07-01,2026-06-22,7498,7502,KOSDAQ|KOSPI,31,31,74500,2912382682500,active_like,atlas/symbol_profiles/017/017800.json
017810,풀무원,1995-10-27,2026-06-22,7631,7720,KOSPI,32,32,9480,361382738160,active_like,atlas/symbol_profiles/017/017810.json
017860,DS단석,2023-12-22,2026-06-22,604,604,KOSPI,4,4,13000,230868807000,active_like,atlas/symbol_profiles/017/017860.json
017890,한국알콜,1996-07-03,2026-06-22,6930,7503,KOSDAQ,31,31,11750,249963695500,active_like,atlas/symbol_profiles/017/017890.json
017900,광전자,1996-07-26,2026-06-22,7461,7503,KOSDAQ|KOSPI,31,31,8290,480353795270,active_like,atlas/symbol_profiles/017/017900.json
017940,E1,1997-08-27,2026-06-22,7101,7164,KOSPI,30,30,79600,546056000000,active_like,atlas/symbol_profiles/017/017940.json
017960,한국카본,1995-10-10,2026-06-22,7655,7791,KOSPI,32,32,29800,1539959282800,active_like,atlas/symbol_profiles/017/017960.json
018000,유니슨,1996-07-03,2026-06-22,7409,7503,KOSDAQ,31,31,975,253010826900,active_like,atlas/symbol_profiles/018/018000.json
018064,한진칼우,2013-09-16,2026-06-22,3125,3129,KOSPI,14,14,28650,15378345900,active_like,atlas/symbol_profiles/018/018064.json
018120,진로발효,1996-07-15,2026-06-22,6840,7503,KOSDAQ,31,31,16740,110837548800,active_like,atlas/symbol_profiles/018/018120.json
018250,애경산업,2018-03-22,2026-06-22,2023,2023,KOSPI,9,9,11270,297639967450,active_like,atlas/symbol_profiles/018/018250.json
